InventoryNumber;Name;EquipmentType;Status;Location;SerialNumber;Manufacturer;Model;PurchaseDate;CommissioningDate;WarrantyEndDate;ResponsiblePerson;Notes
IMP-0015;МФУ отдела кадров;МФУ;В эксплуатации;Главный корпус, Кабинет 101;SN-MFU-0015;HP;LaserJet Pro M428;04.07.2023;06.07.2023;06.07.2026;Егорова С.С.;Печать приказов и личных дел
IMP-0016;Планшет для инвентаризации;Планшет;В эксплуатации;Склад, IT-склад;SN-TB-0016;Samsung;Galaxy Tab Active;17.01.2025;20.01.2025;20.01.2028;Техслужба;Используется в мобильной проверке
IMP-0017;IP-телефон приемной;Телефон;В эксплуатации;Главный корпус, Кабинет 101;SN-PH-0017;Yealink;T31P;22.05.2022;26.05.2022;26.05.2025;Соколова М.В.;Подключен к внутренней АТС
IMP-0018;Сервер резервного копирования;Сервер;В эксплуатации;Лабораторный корпус, Серверная;SN-SRV-0018;HPE;ProLiant DL360;02.09.2021;18.09.2021;18.09.2026;Сидоров П.П.;Ночной бэкап критичных данных
IMP-0019;ИБП серверной стойки;ИБП;В эксплуатации;Лабораторный корпус, Серверная;SN-UPS-0019;APC;Smart-UPS 3000;07.12.2021;12.12.2021;12.12.2026;Сидоров П.П.;Поддержка питания серверного сегмента
IMP-0020;Сканер архива;Сканер;Требует диагностики;Главный корпус, Кабинет 101;SN-SC-0020;Epson;WorkForce DS;19.10.2022;25.10.2022;25.10.2025;Петрова Н.С.;Появились полосы при сканировании
IMP-0021;Интерактивная панель математики;Интерактивная панель;В эксплуатации;Главный корпус, Кабинет 203;SN-IP-0021;BenQ;RM7503;13.08.2024;20.08.2024;20.08.2027;Белова О.Н.;Используется на открытых уроках
IMP-0022;Маршрутизатор резерва;Маршрутизатор;На складе;Склад, IT-склад;SN-RT-0022;Keenetic;Titan;02.02.2025;05.02.2025;05.02.2028;Склад IT;Резерв для аварийной замены
IMP-0023;Коммутатор кабинета 203;Коммутатор;В эксплуатации;Главный корпус, Кабинет 203;SN-SW-0023;TP-Link;TL-SG2428P;14.09.2023;18.09.2023;18.09.2026;Орлова Т.Т.;Подключает рабочие места кабинета
IMP-0024;Ноутбук для выездных мероприятий;Ноутбук;В резерве;Склад, IT-склад;SN-NB-0024;ASUS;ExpertBook B1;09.01.2025;12.01.2025;12.01.2028;Техслужба;Выдается на временные мероприятия
IMP-0025;Списанный системный блок архива;Системный блок;Списано;Склад, IT-склад;SN-WS-0025;Depo;Neos;11.06.2018;20.06.2018;20.06.2021;Архив;Списан после морального износа
IMP-0026;Монитор библиотеки;Монитор;В эксплуатации;Главный корпус, Кабинет 203;SN-MN-0026;AOC;24B2XH;15.09.2024;18.09.2024;18.09.2027;Васильева Т.А.;Установлен на рабочем месте библиотекаря
IMP-0027;Принтер кабинета директора;Принтер;В эксплуатации;Главный корпус, Кабинет 101;SN-PR-0027;Xerox;B310;04.11.2024;08.11.2024;08.11.2027;Смирнов А.А.;Для печати внутренних документов
IMP-0028;Сервер домена;Сервер;В эксплуатации;Лабораторный корпус, Серверная;SN-SRV-0028;Dell;PowerEdge R550;10.03.2024;18.03.2024;18.03.2027;Сидоров П.П.;Контроллер домена и файловые службы
IMP-0029;Проектор кабинета 203;Проектор;В ремонте;Главный корпус, Кабинет 203;SN-PJ-0029;BenQ;MS560;12.12.2023;20.12.2023;20.12.2026;Белова О.Н.;Мерцание изображения при работе
IMP-0030;Точка доступа резервная;Точка доступа;В резерве;Склад, IT-склад;SN-AP-0030;TP-Link;EAP225;03.03.2025;05.03.2025;05.03.2028;Техслужба;Запасное сетевое оборудование
